jid,id,prompt,concept,alpha,sample,n_attempts,first,last,restarts,multi_attempt,esr
a00000,p2_body_positions_s6,Explain how to calculate probability.,body_positions,0.8,6,1,25.0,25.0,[],False,False
a00001,p21_body_positions_s3,How do you calculate the area of irregular shapes?,body_positions,0.8,3,1,20.0,20.0,[],False,False
a00002,p14_body_positions_s9,Explain how to start composting.,body_positions,0.8,9,1,5.0,5.0,[],False,False
a00003,p0_body_positions_s17,Explain how to add two fractions.,body_positions,0.8,17,1,15.0,15.0,[],False,False
a00004,p18_body_positions_s19,Explain how to write a thank you note.,body_positions,0.8,19,1,20.0,20.0,[],False,False
a00005,p5_body_positions_s7,Explain how to create a strong password.,body_positions,0.8,7,1,5.0,5.0,[],False,False
a00006,p31_body_positions_s15,How do you properly iron clothes?,body_positions,0.8,15,1,10.0,10.0,[],False,False
a00007,p11_body_positions_s15,Explain how to properly clean a kitchen.,body_positions,0.8,15,1,45.0,45.0,[],False,False
a00008,p20_body_positions_s3,How do you calculate percentages?,body_positions,0.8,3,1,50.0,50.0,[],False,False
a00009,p28_body_positions_s19,How do you organize a successful team meeting?,body_positions,0.8,19,1,55.0,55.0,[],False,False
a00010,p34_body_positions_s0,How do you solve a Rubik's cube?,body_positions,0.8,0,1,0.0,0.0,[],False,False
a00011,p17_body_positions_s8,Explain how to write a resume.,body_positions,0.8,8,1,20.0,20.0,[],False,False
a00012,p0_body_positions_s19,Explain how to add two fractions.,body_positions,0.8,19,1,55.0,55.0,[],False,False
a00013,p2_body_positions_s14,Explain how to calculate probability.,body_positions,0.8,14,1,65.0,65.0,[],False,False
a00014,p20_body_positions_s15,How do you calculate percentages?,body_positions,0.8,15,1,80.0,80.0,[],False,False
a00015,p16_body_positions_s12,Explain how to write a research paper.,body_positions,0.8,12,1,50.0,50.0,[],False,False
a00016,p17_body_positions_s15,Explain how to write a resume.,body_positions,0.8,15,1,5.0,5.0,[],False,False
a00017,p10_body_positions_s3,Explain how to plan a party.,body_positions,0.8,3,1,20.0,20.0,[],False,False
a00018,p7_body_positions_s10,Explain how to organize a closet.,body_positions,0.8,10,1,35.0,35.0,[],False,False
a00019,p6_body_positions_s4,Explain how to darn a hole in a sock.,body_positions,0.8,4,1,15.0,15.0,[],False,False
a00020,p35_body_positions_s11,How do you solve quadratic equations?,body_positions,0.8,11,1,0.0,0.0,[],False,False
a00021,p1_body_positions_s13,Explain how to calculate averages.,body_positions,0.8,13,1,75.0,75.0,[],False,False
a00022,p18_body_positions_s16,Explain how to write a thank you note.,body_positions,0.8,16,1,55.0,55.0,[],False,False
a00023,p2_body_positions_s19,Explain how to calculate probability.,body_positions,0.8,19,1,60.0,60.0,[],False,False
a00024,p22_body_positions_s11,How do you calculate the volume of different shapes?,body_positions,0.8,11,1,25.0,25.0,[],False,False
a00025,p18_body_positions_s9,Explain how to write a thank you note.,body_positions,0.8,9,1,45.0,45.0,[],False,False
a00026,p18_body_positions_s17,Explain how to write a thank you note.,body_positions,0.8,17,1,40.0,40.0,[],False,False
a00027,p17_body_positions_s17,Explain how to write a resume.,body_positions,0.8,17,1,35.0,35.0,[],False,False
a00028,p30_body_positions_s0,How do you properly fold a fitted sheet?,body_positions,0.8,0,1,20.0,20.0,[],False,False
a00029,p5_body_positions_s19,Explain how to create a strong password.,body_positions,0.8,19,1,0.0,0.0,[],False,False
a00030,p17_body_positions_s9,Explain how to write a resume.,body_positions,0.8,9,1,30.0,30.0,[],False,False
a00031,p37_body_positions_s18,How do you write a professional email?,body_positions,0.8,18,1,40.0,40.0,[],False,False
a00032,p1_body_positions_s1,Explain how to calculate averages.,body_positions,0.8,1,1,75.0,75.0,[],False,False
a00033,p23_body_positions_s10,How do you conduct an effective job interview?,body_positions,0.8,10,1,60.0,60.0,[],False,False
a00034,p24_body_positions_s3,How do you give an effective presentation?,body_positions,0.8,3,1,45.0,45.0,[],False,False
a00035,p28_body_positions_s16,How do you organize a successful team meeting?,body_positions,0.8,16,1,50.0,50.0,[],False,False
a00036,p33_body_positions_s18,How do you properly wash dishes by hand?,body_positions,0.8,18,1,40.0,40.0,[],False,False
