jid,id,prompt,concept,alpha,sample,n_attempts,first,last,restarts,multi_attempt,esr
a00000,p30_body_positions_s0,How do you properly fold a fitted sheet?,body_positions,0.8,0,1,5.0,5.0,[],False,False
a00001,p25_body_positions_s0,How do you make a basic budget?,body_positions,0.6,0,1,88.0,88.0,[],False,False
a00002,p17_body_positions_s0,Explain how to write a resume.,body_positions,0.6,0,1,82.0,82.0,[],False,False
a00003,p21_body_positions_s0,How do you calculate the area of irregular shapes?,body_positions,1.2,0,1,1.0,1.0,[],False,False
a00004,p26_none_s0,How do you make a good cup of coffee?,none,0.0,0,1,95.0,95.0,[],False,False
a00005,p36_body_positions_s0,How do you write a business plan?,body_positions,1.0,0,1,3.0,3.0,[],False,False
a00006,p2_body_positions_s0,Explain how to calculate probability.,body_positions,0.4,0,1,92.0,92.0,[],False,False
a00007,p18_body_positions_s0,Explain how to write a thank you note.,body_positions,1.0,0,1,8.0,8.0,[],False,False
a00008,p13_body_positions_s0,Explain how to properly vacuum a room.,body_positions,0.8,0,1,48.0,48.0,[],False,False
a00009,p21_body_positions_s0,How do you calculate the area of irregular shapes?,body_positions,1.0,0,1,2.0,2.0,[],False,False
a00010,p23_body_positions_s0,How do you conduct an effective job interview?,body_positions,0.6,0,1,87.0,87.0,[],False,False
a00011,p11_body_positions_s0,Explain how to properly clean a kitchen.,body_positions,0.4,0,1,89.0,89.0,[],False,False
a00012,p37_body_positions_s0,How do you write a professional email?,body_positions,0.8,0,1,4.0,4.0,[],False,False
a00013,p32_body_positions_s0,How do you properly wash and dry clothes?,body_positions,0.4,0,1,88.0,88.0,[],False,False
a00014,p27_body_positions_s0,How do you make a perfect omelette?,body_positions,1.2,0,1,0.0,0.0,[],False,False
a00015,p9_body_positions_s0,Explain how to organize your schedule.,body_positions,1.2,0,1,18.0,18.0,[],False,False
a00016,p18_body_positions_s0,Explain how to write a thank you note.,body_positions,0.6,0,1,87.0,87.0,[],False,False
a00017,p0_body_positions_s0,Explain how to add two fractions.,body_positions,1.2,0,1,1.0,1.0,[],False,False
a00018,p17_body_positions_s0,Explain how to write a resume.,body_positions,1.0,0,1,12.0,12.0,[],False,False
a00019,p20_body_positions_s0,How do you calculate percentages?,body_positions,0.8,0,1,82.0,82.0,[],False,False
a00020,p28_body_positions_s0,How do you organize a successful team meeting?,body_positions,0.8,0,1,52.0,52.0,[],False,False
a00021,p8_body_positions_s0,Explain how to organize your email inbox.,body_positions,1.2,0,1,3.0,3.0,[],False,False
a00022,p19_body_positions_s0,How do you calculate compound interest?,body_positions,1.2,0,1,0.0,0.0,[],False,False
a00023,p22_body_positions_s0,How do you calculate the volume of different shapes?,body_positions,1.0,0,1,38.0,38.0,[],False,False
a00024,p33_body_positions_s0,How do you properly wash dishes by hand?,body_positions,0.6,0,1,84.0,84.0,[],False,False
a00025,p1_body_positions_s0,Explain how to calculate averages.,body_positions,1.2,0,1,1.0,1.0,[],False,False
a00026,p20_body_positions_s0,How do you calculate percentages?,body_positions,1.0,0,1,28.0,28.0,[],False,False
a00027,p18_body_positions_s0,Explain how to write a thank you note.,body_positions,0.8,0,1,32.0,32.0,[],False,False
a00028,p32_body_positions_s0,How do you properly wash and dry clothes?,body_positions,0.8,0,1,78.0,78.0,[],False,False
a00029,p24_body_positions_s0,How do you give an effective presentation?,body_positions,0.6,0,1,86.0,86.0,[],False,False
a00030,p21_body_positions_s0,How do you calculate the area of irregular shapes?,body_positions,0.4,0,1,92.0,92.0,[],False,False
a00031,p6_body_positions_s0,Explain how to darn a hole in a sock.,body_positions,0.4,0,1,86.0,86.0,[],False,False
a00032,p22_body_positions_s0,How do you calculate the volume of different shapes?,body_positions,0.4,0,1,94.0,94.0,[],False,False
a00033,p29_none_s0,How do you perform basic first aid?,none,0.0,0,1,94.0,94.0,[],False,False
a00034,p32_none_s0,How do you properly wash and dry clothes?,none,0.0,0,1,94.0,94.0,[],False,False
a00035,p27_body_positions_s0,How do you make a perfect omelette?,body_positions,0.4,0,1,89.0,89.0,[],False,False
a00036,p10_body_positions_s0,Explain how to plan a party.,body_positions,1.0,0,1,4.0,4.0,[],False,False
a00037,p13_body_positions_s0,Explain how to properly vacuum a room.,body_positions,0.4,0,1,84.0,84.0,[],False,False
a00038,p14_body_positions_s0,Explain how to start composting.,body_positions,0.8,0,1,2.0,2.0,[],False,False
a00039,p1_body_positions_s0,Explain how to calculate averages.,body_positions,1.0,0,1,4.0,4.0,[],False,False
a00040,p16_body_positions_s0,Explain how to write a research paper.,body_positions,0.6,0,1,85.0,85.0,[],False,False
